epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,f1_real,f1_ai_gen,f1_ai_edit
1,0.279289,0.771061,0.191487,0.859903,0.859126,0.79493,0.949271,0.833176
2,0.179129,0.860629,0.176969,0.86543,0.86633,0.818176,0.954727,0.826087
3,0.146071,0.889716,0.171073,0.879525,0.879292,0.836862,0.967531,0.833483
4,0.121359,0.913703,0.205553,0.854976,0.855376,0.78469,0.945107,0.836331
5,0.103105,0.932303,0.17724,0.876184,0.876319,0.8197,0.959023,0.850235
6,0.084389,0.946958,0.202165,0.880682,0.880492,0.824367,0.968435,0.848675
7,0.070564,0.959593,0.19878,0.880896,0.880291,0.820308,0.968946,0.851618
8,0.061156,0.96636,0.273203,0.856433,0.854303,0.771308,0.965783,0.825818
9,0.051561,0.974249,0.234112,0.883895,0.883794,0.835077,0.971615,0.84469
10,0.046399,0.977712,0.23632,0.879997,0.880458,0.837828,0.965186,0.838361
11,0.041205,0.982843,0.26102,0.871,0.871564,0.811776,0.961867,0.84105
12,0.034253,0.987301,0.257835,0.885309,0.884606,0.831002,0.970036,0.85278
13,0.031429,0.988616,0.331925,0.87824,0.876503,0.825401,0.95281,0.851298
14,0.027677,0.990347,0.297166,0.87884,0.878541,0.815802,0.970992,0.848829
15,0.025784,0.992111,0.298144,0.888822,0.888301,0.838508,0.970898,0.855496
16,0.021983,0.994933,0.305578,0.892164,0.891886,0.845584,0.9736,0.856472
17,0.020495,0.99535,0.295803,0.893364,0.893088,0.847484,0.974173,0.857609
18,0.019479,0.995639,0.315009,0.89255,0.892526,0.843367,0.975071,0.859139
19,0.018647,0.996216,0.310383,0.893406,0.893321,0.845596,0.975766,0.8586
20,0.017953,0.996505,0.315668,0.893321,0.893111,0.846154,0.975018,0.858163
21,0.117036,0.922169,0.207245,0.8683,0.869235,0.818817,0.959182,0.829706
22,0.078998,0.95132,0.220908,0.877126,0.876407,0.82878,0.959783,0.840657
23,0.072644,0.956419,0.236634,0.872413,0.872845,0.822482,0.962004,0.834048
24,0.062622,0.965686,0.239168,0.87854,0.878414,0.820245,0.969193,0.845804
25,0.060553,0.967258,0.223587,0.878454,0.878402,0.837705,0.959759,0.837742
26,0.063656,0.965077,0.220543,0.871085,0.872496,0.823227,0.954235,0.840026
