epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,f1_real,f1_ai_gen,f1_ai_edit
1,0.404245,0.762467,0.301563,0.838225,0.839992,0.780275,0.922831,0.816868
2,0.248336,0.87692,0.277367,0.854205,0.855312,0.803562,0.943861,0.818514
3,0.175759,0.92637,0.31029,0.854933,0.855235,0.800713,0.949083,0.81591
4,0.132167,0.95443,0.325263,0.860032,0.860037,0.799611,0.952976,0.827525
5,0.099874,0.972485,0.339703,0.862559,0.863143,0.810955,0.950837,0.827636
6,0.086797,0.980021,0.35527,0.859132,0.858478,0.799768,0.948294,0.827371
7,0.076957,0.984511,0.375723,0.858018,0.858237,0.796777,0.95073,0.827203
8,0.069941,0.987172,0.376415,0.86453,0.864822,0.81063,0.956763,0.827073
9,0.06139,0.9907,0.393546,0.863116,0.862981,0.812492,0.952691,0.823759
10,0.056019,0.993426,0.39807,0.862988,0.862776,0.811688,0.952952,0.823687
11,0.054525,0.993747,0.379577,0.864916,0.865037,0.807611,0.955524,0.831977
12,0.052385,0.994196,0.379226,0.865858,0.865977,0.808134,0.957038,0.83276
13,0.049921,0.995382,0.378835,0.865858,0.866048,0.809024,0.958083,0.831038
14,0.048212,0.99644,0.387523,0.867358,0.867507,0.816365,0.958215,0.82794
15,0.047215,0.996697,0.387314,0.869286,0.869555,0.817208,0.957267,0.834189
16,0.046473,0.997178,0.388034,0.868857,0.86915,0.816096,0.957868,0.833486
17,0.045764,0.99705,0.381133,0.869157,0.869255,0.816296,0.958813,0.832656
18,0.045322,0.99737,0.380567,0.868172,0.868625,0.814248,0.958714,0.832913
19,0.044989,0.997755,0.379051,0.8704,0.870532,0.817631,0.959681,0.834283
20,0.044867,0.997691,0.381708,0.867915,0.86779,0.809941,0.959045,0.834385
21,0.186262,0.919507,0.347324,0.846022,0.846993,0.782327,0.942558,0.816093
22,0.111256,0.964532,0.340032,0.858404,0.859317,0.802904,0.950961,0.824087
23,0.084151,0.978674,0.376615,0.858832,0.858633,0.803133,0.955416,0.81735
24,0.071363,0.985794,0.374159,0.860546,0.860958,0.80828,0.953126,0.821469
25,0.067785,0.987365,0.391116,0.858789,0.859246,0.80747,0.953601,0.816668
26,0.067706,0.987044,0.40876,0.857161,0.857489,0.802667,0.948802,0.820999
