epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,f1_real,f1_ai_gen,f1_ai_edit
1,0.468242,0.720553,0.402537,0.783128,0.78222,0.698961,0.882511,0.765189
2,0.357959,0.797005,0.370674,0.794053,0.796455,0.736505,0.87884,0.774022
3,0.308148,0.834012,0.35806,0.807206,0.807511,0.739065,0.906564,0.776905
4,0.264676,0.865183,0.400142,0.811919,0.809459,0.73244,0.901419,0.794519
5,0.23143,0.888112,0.389873,0.812776,0.812004,0.738708,0.904223,0.793082
6,0.203852,0.908412,0.420409,0.799452,0.802062,0.729385,0.890847,0.785955
7,0.150177,0.944746,0.417098,0.818645,0.819751,0.759007,0.916112,0.784133
8,0.12517,0.958984,0.432493,0.818731,0.819429,0.746465,0.915515,0.796307
9,0.112961,0.967803,0.42529,0.820273,0.820687,0.750321,0.917688,0.794052
10,0.094259,0.978161,0.428167,0.829442,0.830241,0.769269,0.920724,0.800731
11,0.087551,0.981721,0.442213,0.824129,0.824579,0.752468,0.921772,0.799499
12,0.085331,0.982715,0.43426,0.821987,0.822849,0.752884,0.91802,0.797643
13,0.079067,0.986852,0.434201,0.826657,0.827708,0.764702,0.923006,0.795415
