epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,f1_real,f1_ai_gen,f1_ai_edit
1,0.441355,0.736876,0.329655,0.818088,0.817192,0.731806,0.919478,0.800293
2,0.316989,0.823429,0.285634,0.847093,0.848455,0.788185,0.940098,0.817083
3,0.257843,0.867364,0.275525,0.860717,0.860955,0.803097,0.951046,0.82872
4,0.213629,0.897252,0.29103,0.855576,0.85741,0.806432,0.940219,0.82558
5,0.174913,0.923067,0.327333,0.855019,0.855035,0.789509,0.95172,0.823877
6,0.139206,0.944329,0.34447,0.86513,0.865345,0.813553,0.95423,0.828252
7,0.119951,0.957701,0.344958,0.858918,0.859461,0.801013,0.95125,0.826121
8,0.107273,0.965398,0.388487,0.864402,0.864512,0.80786,0.954993,0.830682
9,0.09116,0.973511,0.38686,0.859732,0.859302,0.795248,0.953682,0.828976
10,0.082353,0.97861,0.39074,0.865558,0.865161,0.809416,0.95368,0.832389
11,0.07678,0.981079,0.419117,0.864659,0.864637,0.805958,0.954853,0.833101
12,0.072533,0.983324,0.4193,0.866372,0.866532,0.81475,0.95546,0.829385
13,0.066377,0.987365,0.420605,0.861488,0.860673,0.803892,0.951136,0.826992
14,0.062366,0.988295,0.426671,0.863031,0.862819,0.803659,0.95612,0.828678
15,0.058775,0.990604,0.44036,0.865301,0.865422,0.814718,0.953243,0.828306
16,0.055977,0.991374,0.440108,0.865558,0.865285,0.80705,0.955102,0.833704
17,0.054659,0.991951,0.428921,0.867058,0.86661,0.808052,0.95681,0.834968
18,0.053841,0.992592,0.44588,0.864187,0.86373,0.803807,0.954978,0.832404
19,0.052264,0.993105,0.436411,0.866372,0.866544,0.810755,0.955243,0.833633
20,0.05265,0.993394,0.437697,0.86633,0.866288,0.810766,0.954893,0.833204
21,0.145743,0.940641,0.394313,0.848164,0.848715,0.788885,0.941337,0.815922
22,0.113481,0.959882,0.424894,0.84448,0.843697,0.771238,0.94438,0.815473
23,0.101694,0.965622,0.403551,0.839467,0.84105,0.776171,0.934307,0.812673
24,0.095863,0.969535,0.447153,0.843923,0.841458,0.765047,0.937767,0.821561
25,0.089238,0.972421,0.467518,0.848721,0.849381,0.787793,0.937863,0.822486
26,0.089022,0.973928,0.43676,0.841095,0.84344,0.789844,0.927458,0.813017
27,0.086097,0.974986,0.431022,0.84825,0.848104,0.785064,0.94026,0.818989
