epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,f1_real,f1_ai_gen,f1_ai_edit
1,0.405049,0.761569,0.300513,0.839638,0.841197,0.780157,0.9251,0.818334
2,0.246746,0.87955,0.2714,0.86106,0.86173,0.807834,0.95134,0.826016
3,0.177494,0.92544,0.312187,0.852491,0.852956,0.799164,0.940326,0.819377
4,0.130625,0.956098,0.328823,0.859261,0.859883,0.804141,0.949932,0.825576
5,0.100891,0.972357,0.343021,0.863973,0.864494,0.809784,0.954215,0.829481
6,0.087429,0.978931,0.339778,0.864916,0.864974,0.808252,0.954314,0.832357
7,0.071779,0.986948,0.345877,0.865216,0.865437,0.810825,0.954167,0.831319
8,0.067259,0.988808,0.374869,0.866887,0.866711,0.808941,0.955836,0.835357
9,0.062223,0.991021,0.381777,0.865216,0.865095,0.813794,0.954139,0.827352
10,0.058268,0.992175,0.393473,0.866415,0.865823,0.809069,0.955881,0.832518
11,0.054518,0.993907,0.370338,0.865644,0.866263,0.81091,0.955595,0.832285
12,0.05233,0.994324,0.378792,0.868172,0.8682,0.811337,0.959856,0.833408
13,0.049577,0.995671,0.375156,0.8686,0.868919,0.813748,0.956966,0.836043
14,0.048833,0.995959,0.371037,0.869329,0.86959,0.817059,0.958911,0.8328
15,0.047395,0.996761,0.380567,0.870528,0.870759,0.817845,0.960247,0.834186
16,0.04651,0.996665,0.372881,0.871042,0.870907,0.815759,0.961009,0.835954
17,0.046088,0.996761,0.376024,0.871985,0.871985,0.819193,0.960821,0.835942
18,0.045418,0.99737,0.376297,0.869329,0.869641,0.813154,0.960052,0.835716
19,0.045143,0.997402,0.373683,0.871771,0.871989,0.81912,0.961444,0.835404
20,0.044819,0.997627,0.371579,0.870271,0.870188,0.813215,0.961887,0.835461
21,0.184791,0.919187,0.344267,0.837796,0.839224,0.77347,0.928049,0.816152
22,0.112775,0.963794,0.347313,0.859346,0.860049,0.803033,0.951916,0.825198
23,0.083242,0.979733,0.387726,0.863802,0.864211,0.811594,0.956634,0.824404
24,0.069952,0.98605,0.372187,0.862774,0.863525,0.810692,0.950766,0.829116
