epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,f1_real,f1_ai_gen,f1_ai_edit
1,0.349145,0.703172,0.267221,0.79551,0.794473,0.710029,0.896829,0.77656
2,0.256172,0.788154,0.231709,0.813633,0.815919,0.744632,0.909519,0.793604
3,0.213975,0.825578,0.221117,0.825672,0.827673,0.761928,0.920834,0.800256
4,0.177231,0.862233,0.226944,0.832441,0.833206,0.765708,0.927616,0.806293
5,0.146148,0.8901,0.276089,0.828071,0.828102,0.75532,0.926883,0.802104
6,0.117655,0.915691,0.284872,0.826657,0.829409,0.767882,0.915597,0.804748
7,0.096945,0.933105,0.293,0.828114,0.830453,0.771569,0.919922,0.799867
8,0.078747,0.949396,0.370376,0.832441,0.83236,0.774431,0.931734,0.790916
9,0.064535,0.961293,0.385032,0.8267,0.824648,0.747068,0.923211,0.803664
10,0.055754,0.969246,0.389845,0.829185,0.828624,0.759925,0.91908,0.806866
11,0.048697,0.974826,0.388843,0.82957,0.831133,0.769831,0.921739,0.801829
12,0.043677,0.977616,0.404286,0.831627,0.830777,0.756593,0.930493,0.805244
13,0.03844,0.982523,0.384624,0.82927,0.830856,0.765854,0.927646,0.79907
14,0.034038,0.985729,0.419726,0.835097,0.835715,0.771216,0.935072,0.800858
15,0.031658,0.986916,0.389831,0.836554,0.836576,0.765856,0.934253,0.809621
16,0.028697,0.989417,0.423463,0.833769,0.834456,0.763291,0.933097,0.806978
17,0.026783,0.990347,0.429474,0.836854,0.836709,0.7657,0.935511,0.808916
18,0.02538,0.991181,0.433332,0.835654,0.835786,0.767835,0.93397,0.805554
19,0.024502,0.992015,0.427041,0.838653,0.839141,0.773776,0.936589,0.807058
20,0.025065,0.991887,0.426532,0.838182,0.838627,0.772031,0.935823,0.808028
21,0.101464,0.93118,0.327524,0.81826,0.818527,0.742314,0.922426,0.790842
22,0.084182,0.945515,0.365107,0.816675,0.81509,0.734672,0.912236,0.798361
23,0.068836,0.957894,0.342616,0.821859,0.822738,0.751736,0.916072,0.800407
24,0.065402,0.96155,0.390878,0.814361,0.816343,0.74741,0.907752,0.793867
25,0.058645,0.965205,0.410855,0.822073,0.822346,0.74522,0.921215,0.800603
26,0.060704,0.964756,0.427523,0.820445,0.821059,0.75563,0.917604,0.789941
27,0.054187,0.968797,0.399365,0.817189,0.818362,0.750702,0.915248,0.789135
28,0.053773,0.969535,0.465646,0.81299,0.812206,0.723569,0.918236,0.794812
29,0.052997,0.97008,0.451001,0.814661,0.817329,0.76247,0.906189,0.783329
