epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,f1_real,f1_ai_gen,f1_ai_edit
1,0.274637,0.775423,0.190991,0.848635,0.850261,0.79385,0.935347,0.821586
2,0.167002,0.8732,0.177597,0.860332,0.860419,0.790096,0.956258,0.834903
3,0.128035,0.90745,0.178944,0.871299,0.871874,0.818995,0.96037,0.836255
4,0.097192,0.937081,0.222686,0.874427,0.873437,0.808056,0.967734,0.84452
5,0.075017,0.955777,0.214589,0.878326,0.878305,0.823353,0.967165,0.844397
6,0.057855,0.970016,0.217189,0.881667,0.882045,0.83372,0.966606,0.845807
7,0.044204,0.980727,0.266726,0.870443,0.870832,0.80899,0.962118,0.841388
8,0.042839,0.980791,0.259708,0.882739,0.882971,0.83444,0.966639,0.847835
9,0.035335,0.98512,0.285397,0.88231,0.882288,0.834526,0.965721,0.846616
10,0.03254,0.986563,0.278466,0.880725,0.880763,0.825972,0.967421,0.848897
11,0.031275,0.987654,0.283491,0.882053,0.882252,0.830561,0.96808,0.848114
12,0.025607,0.991309,0.309928,0.887965,0.887614,0.840537,0.972367,0.849938
13,0.024716,0.991694,0.294292,0.886937,0.886819,0.835844,0.972682,0.85193
14,0.022111,0.993554,0.31802,0.886337,0.886002,0.83729,0.968342,0.852374
15,0.020413,0.99458,0.313068,0.889422,0.888828,0.83827,0.971563,0.85665
16,0.019268,0.995158,0.327101,0.886894,0.886281,0.833377,0.969554,0.855912
17,0.018459,0.995671,0.322756,0.886809,0.886502,0.834686,0.972824,0.851995
18,0.017978,0.995735,0.329221,0.888779,0.888609,0.838831,0.973807,0.853188
19,0.017828,0.996472,0.325904,0.889465,0.88948,0.842732,0.973542,0.852166
20,0.017312,0.996505,0.328116,0.889979,0.889863,0.842354,0.973742,0.853492
21,0.101555,0.935029,0.236501,0.866887,0.867868,0.816545,0.956287,0.830773
22,0.057865,0.967514,0.24281,0.86603,0.86658,0.806408,0.956653,0.836681
23,0.049214,0.974153,0.267169,0.869629,0.870804,0.819515,0.95359,0.839308
24,0.045622,0.976494,0.275106,0.865216,0.865791,0.802988,0.951391,0.842995
25,0.042661,0.97861,0.287724,0.877169,0.877266,0.828136,0.964391,0.83927
26,0.041718,0.97938,0.28989,0.871171,0.871212,0.811438,0.962112,0.840086
27,0.04056,0.980438,0.251809,0.867401,0.868693,0.815338,0.952507,0.838233
28,0.04038,0.980823,0.367095,0.858361,0.858904,0.79255,0.953604,0.830557
29,0.038417,0.981785,0.2496,0.86603,0.86668,0.804118,0.955815,0.840107
30,0.036906,0.983132,0.332239,0.873442,0.874047,0.824119,0.959287,0.838735
