epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,f1_real,f1_ai_gen,f1_ai_edit
1,0.38314,0.775711,0.275951,0.858618,0.85842,0.809704,0.9489,0.816656
2,0.251139,0.871084,0.253377,0.871471,0.871539,0.81139,0.961096,0.842131
3,0.205803,0.9011,0.25501,0.880082,0.879078,0.826204,0.961318,0.849712
4,0.174353,0.92172,0.253904,0.8704,0.871606,0.818245,0.94938,0.847194
5,0.142122,0.943655,0.299302,0.876269,0.875127,0.811711,0.965679,0.84799
6,0.123458,0.954815,0.29679,0.88381,0.884494,0.839208,0.966052,0.848223
7,0.105043,0.966648,0.291544,0.882224,0.882229,0.82806,0.967692,0.850935
8,0.090129,0.974858,0.313281,0.887623,0.887747,0.838701,0.969244,0.855295
9,0.080013,0.98047,0.381123,0.876912,0.876395,0.813935,0.96839,0.846861
10,0.074525,0.98403,0.372559,0.883981,0.883155,0.839439,0.960582,0.849444
11,0.067699,0.986852,0.353899,0.88608,0.886463,0.837833,0.968373,0.853182
12,0.066847,0.987589,0.381297,0.886766,0.885902,0.831618,0.970864,0.855224
13,0.060302,0.990283,0.364568,0.890664,0.890083,0.847885,0.970449,0.851916
14,0.056589,0.992303,0.39409,0.888779,0.888762,0.84847,0.97259,0.845227
15,0.053038,0.993715,0.413651,0.887109,0.886027,0.829783,0.970854,0.857445
16,0.050855,0.994741,0.391635,0.892293,0.891821,0.844585,0.973069,0.857809
17,0.048367,0.995831,0.377753,0.893492,0.893121,0.846323,0.973386,0.859654
18,0.048089,0.995863,0.390247,0.89452,0.894173,0.846696,0.974506,0.861317
19,0.046861,0.996665,0.388103,0.894606,0.89434,0.848995,0.975504,0.858522
20,0.045885,0.997242,0.389249,0.895206,0.894951,0.848901,0.975741,0.860212
21,0.155689,0.937209,0.290026,0.879911,0.879934,0.83606,0.961021,0.842721
22,0.112809,0.962415,0.356731,0.872199,0.87239,0.827866,0.957474,0.831831
23,0.107096,0.964468,0.318608,0.876526,0.875905,0.819454,0.960142,0.848119
24,0.0985,0.96899,0.351185,0.876312,0.875733,0.816294,0.960343,0.85056
25,0.094319,0.971715,0.320119,0.877169,0.878035,0.830741,0.959519,0.843845
26,0.092086,0.972228,0.369977,0.875841,0.874716,0.828432,0.958682,0.837035
27,0.089558,0.97473,0.314219,0.880339,0.880752,0.829052,0.963851,0.849352
