epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,f1_real,f1_ai_gen,f1_ai_edit
1,0.467481,0.719783,0.416146,0.778159,0.77578,0.693145,0.877132,0.757064
2,0.358288,0.796844,0.37197,0.790883,0.794088,0.735294,0.876932,0.77004
3,0.305272,0.836481,0.370155,0.795253,0.797236,0.726942,0.889359,0.775407
4,0.264328,0.865311,0.408689,0.807035,0.805598,0.753639,0.903266,0.759888
5,0.229792,0.88994,0.409827,0.807463,0.80629,0.722516,0.906451,0.789905
6,0.198795,0.909534,0.42139,0.79551,0.796824,0.714342,0.892835,0.783294
7,0.146115,0.946477,0.397859,0.820787,0.822021,0.759811,0.914586,0.791667
8,0.123691,0.96155,0.433633,0.822758,0.822849,0.758303,0.915626,0.794618
9,0.112881,0.968797,0.437739,0.822673,0.822827,0.756359,0.915964,0.796157
10,0.096428,0.977456,0.432894,0.827985,0.827905,0.763985,0.920933,0.798796
11,0.087553,0.982009,0.432598,0.8261,0.827394,0.764585,0.918631,0.798965
12,0.082254,0.984639,0.436197,0.823358,0.824112,0.756539,0.918541,0.797257
13,0.077249,0.987493,0.44142,0.825886,0.826798,0.764869,0.918852,0.796675
14,0.075712,0.987557,0.45137,0.824343,0.824876,0.756858,0.918249,0.799521
15,0.072408,0.988744,0.440722,0.825886,0.826513,0.761249,0.920312,0.797979
