epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,f1_real,f1_ai_gen,f1_ai_edit
1,0.525256,0.696309,0.448173,0.773403,0.777012,0.721659,0.867956,0.741421
2,0.405798,0.777154,0.419147,0.786941,0.790651,0.738342,0.872884,0.760728
3,0.348314,0.816503,0.412748,0.793582,0.797046,0.737359,0.888232,0.765547
4,0.305446,0.847032,0.458642,0.802108,0.802039,0.745072,0.900057,0.760987
5,0.265808,0.874002,0.451164,0.807121,0.809642,0.745684,0.895309,0.787934
6,0.225966,0.901357,0.467764,0.792554,0.79665,0.745376,0.879021,0.765554
7,0.166113,0.936311,0.467486,0.814618,0.816541,0.755661,0.90845,0.785512
8,0.141113,0.952346,0.500202,0.819716,0.820965,0.753849,0.909272,0.799774
9,0.129436,0.959561,0.513255,0.819331,0.820511,0.75046,0.91331,0.797764
10,0.108407,0.971491,0.487985,0.819117,0.821414,0.763589,0.90998,0.790673
11,0.100399,0.977295,0.504165,0.821773,0.823766,0.759671,0.911525,0.800103
12,0.09808,0.97784,0.491543,0.821344,0.823133,0.758432,0.91346,0.797507
13,0.088457,0.982234,0.496123,0.821259,0.823234,0.762524,0.912428,0.79475
14,0.08555,0.98435,0.50694,0.82263,0.82438,0.761486,0.911886,0.799768
15,0.083533,0.985313,0.500503,0.824643,0.826055,0.764331,0.916782,0.797052
16,0.081065,0.986659,0.494638,0.823272,0.825086,0.766634,0.914384,0.794241
17,0.078901,0.987333,0.504845,0.825243,0.826936,0.764106,0.913795,0.802906
18,0.077826,0.988487,0.502546,0.825157,0.826884,0.767155,0.914726,0.798772
19,0.077327,0.98807,0.503398,0.822373,0.824357,0.76087,0.913102,0.799099
20,0.076281,0.988872,0.500449,0.822158,0.824333,0.764406,0.911782,0.796811
