epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,f1_real,f1_ai_gen,f1_ai_edit
1,0.532349,0.693326,0.406046,0.781115,0.78157,0.709501,0.877667,0.75754
2,0.39057,0.775711,0.365727,0.793582,0.796225,0.73055,0.891839,0.766287
3,0.340555,0.81352,0.360275,0.799409,0.802611,0.738014,0.889699,0.780118
4,0.296458,0.845268,0.359505,0.815903,0.816626,0.748092,0.909542,0.792245
5,0.250485,0.87676,0.383162,0.814318,0.815294,0.748526,0.908343,0.789013
6,0.210678,0.903088,0.37711,0.818774,0.820564,0.758056,0.910831,0.792806
7,0.173298,0.930122,0.40669,0.823658,0.823286,0.752296,0.919859,0.797704
8,0.144911,0.94776,0.411696,0.825971,0.826918,0.758997,0.919246,0.802509
9,0.125912,0.958599,0.424768,0.828071,0.829094,0.766879,0.920612,0.799792
10,0.118393,0.964468,0.426822,0.829356,0.830121,0.76749,0.922666,0.800208
11,0.202426,0.909951,0.425878,0.79264,0.795694,0.738562,0.899436,0.749085
12,0.185725,0.922105,0.409573,0.810077,0.811557,0.740906,0.904159,0.789605
13,0.163799,0.934708,0.443317,0.812133,0.811657,0.733173,0.909727,0.792071
14,0.152223,0.941956,0.447226,0.815903,0.815844,0.748201,0.912031,0.787301
15,0.135215,0.953115,0.439912,0.818088,0.818008,0.748762,0.910697,0.794566
