epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,f1_real,f1_ai_gen,f1_ai_edit
1,0.558797,0.678479,0.401371,0.777644,0.778806,0.698684,0.875683,0.762051
2,0.403298,0.768464,0.377258,0.792083,0.793851,0.731104,0.891999,0.75845
3,0.355327,0.804541,0.359079,0.802451,0.804667,0.736151,0.896888,0.780962
4,0.31441,0.832216,0.422285,0.799195,0.796269,0.729185,0.883587,0.776035
5,0.28085,0.856781,0.371585,0.815304,0.815385,0.749968,0.911234,0.784953
6,0.249564,0.877594,0.378733,0.812947,0.813603,0.753063,0.90451,0.783236
7,0.189534,0.917455,0.38666,0.819631,0.820041,0.751762,0.917566,0.790794
8,0.166044,0.93365,0.412794,0.822373,0.822623,0.753191,0.918747,0.795931
9,0.145186,0.948498,0.44855,0.818474,0.818961,0.74701,0.914948,0.794925
10,0.121165,0.962672,0.432819,0.825415,0.826189,0.763104,0.920948,0.794515
11,0.108515,0.969727,0.456273,0.824258,0.824371,0.752325,0.920487,0.800303
12,0.103435,0.973607,0.438755,0.829442,0.830001,0.763901,0.923037,0.803064
13,0.093116,0.978546,0.455067,0.827685,0.828586,0.764283,0.922172,0.799304
14,0.091601,0.979412,0.460152,0.829742,0.829968,0.762152,0.922648,0.805105
15,0.087542,0.981785,0.456871,0.827514,0.828192,0.762794,0.921013,0.80077
16,0.083723,0.983196,0.459172,0.829142,0.829691,0.765125,0.923037,0.800909
17,0.082308,0.983773,0.465035,0.827685,0.828267,0.761143,0.921745,0.801913
18,0.079997,0.985345,0.462308,0.827985,0.828677,0.763378,0.921805,0.800849
19,0.081136,0.98512,0.463056,0.825457,0.826306,0.757893,0.920516,0.800507
20,0.078289,0.98605,0.459426,0.826657,0.827968,0.764841,0.921013,0.798051
21,0.077916,0.98621,0.466938,0.827428,0.827747,0.756974,0.922817,0.803449
22,0.077032,0.98698,0.47065,0.825372,0.826259,0.757015,0.921913,0.79985
23,0.077226,0.986371,0.460711,0.827685,0.828261,0.761414,0.922957,0.800411
24,0.073643,0.988359,0.473324,0.826528,0.826636,0.758265,0.922154,0.799489
