epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,f1_real,f1_ai_gen,f1_ai_edit
1,0.326174,0.727544,0.231436,0.818817,0.817051,0.724468,0.925833,0.800852
2,0.222928,0.819774,0.197422,0.840624,0.842712,0.778661,0.926634,0.822842
3,0.180261,0.860116,0.193018,0.845208,0.847447,0.788841,0.926322,0.827179
4,0.149215,0.888786,0.192033,0.861574,0.862242,0.806027,0.950007,0.830692
5,0.121215,0.914793,0.235872,0.850606,0.851399,0.785011,0.940578,0.828608
6,0.0973,0.9349,0.253393,0.85669,0.858087,0.807701,0.945689,0.820869
7,0.083825,0.946317,0.248399,0.861017,0.861936,0.804512,0.952337,0.828958
8,0.066368,0.961133,0.286681,0.857247,0.8581,0.798194,0.949553,0.826553
9,0.058547,0.968027,0.307618,0.837025,0.839609,0.781075,0.915636,0.822117
10,0.049715,0.973223,0.295634,0.859218,0.859652,0.799201,0.948429,0.831327
11,0.045175,0.977424,0.326246,0.855576,0.855262,0.791472,0.94651,0.827803
12,0.037561,0.983324,0.311219,0.861831,0.861501,0.802913,0.954304,0.827287
13,0.033922,0.985345,0.339631,0.862902,0.863019,0.805711,0.950877,0.832469
14,0.030717,0.987718,0.337761,0.863116,0.862701,0.806921,0.954956,0.826226
15,0.028733,0.988872,0.368771,0.860931,0.862144,0.811166,0.949826,0.825439
16,0.02657,0.989898,0.36165,0.864702,0.864781,0.805338,0.957348,0.831658
17,0.024301,0.992303,0.360227,0.866544,0.866322,0.805777,0.960211,0.832978
18,0.023233,0.992528,0.364888,0.867272,0.867225,0.811594,0.957264,0.832817
19,0.022935,0.992913,0.368765,0.867272,0.867366,0.81186,0.956936,0.833301
20,0.022065,0.993875,0.369357,0.867829,0.867761,0.811146,0.958398,0.833739
21,0.102382,0.931309,0.2684,0.849192,0.848493,0.782315,0.944678,0.818485
22,0.07666,0.953661,0.319811,0.85669,0.856265,0.795958,0.944863,0.827973
23,0.065083,0.961069,0.259736,0.855833,0.856745,0.806882,0.945972,0.817381
24,0.058137,0.966648,0.323991,0.844994,0.844696,0.775168,0.942702,0.816218
25,0.060109,0.964532,0.370001,0.854462,0.855319,0.802268,0.944492,0.819197
26,0.053312,0.970304,0.364269,0.853777,0.853398,0.790667,0.947523,0.822003
27,0.051612,0.971234,0.276283,0.845251,0.84673,0.792694,0.935477,0.812018
28,0.050118,0.971331,0.348325,0.851634,0.85214,0.79468,0.942588,0.819151
29,0.047522,0.974537,0.308654,0.849707,0.849551,0.786138,0.93977,0.822746
30,0.049049,0.973223,0.358057,0.847007,0.846765,0.781672,0.940572,0.818049
