epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,f1_real,f1_ai_gen,f1_ai_edit
1,0.281613,0.767437,0.192087,0.859261,0.859276,0.80489,0.946621,0.826317
2,0.174227,0.86467,0.173406,0.865387,0.865447,0.799623,0.957454,0.839264
3,0.141387,0.894301,0.175672,0.875926,0.875737,0.820693,0.963466,0.843051
4,0.120486,0.914954,0.164696,0.879611,0.880168,0.830444,0.959543,0.850516
5,0.10004,0.933682,0.221984,0.853305,0.852729,0.776849,0.941006,0.840332
6,0.083853,0.948145,0.228003,0.868086,0.869664,0.825035,0.951197,0.83276
7,0.07128,0.958246,0.217907,0.882739,0.881862,0.827701,0.963352,0.854534
8,0.059493,0.967867,0.211466,0.883681,0.882905,0.827953,0.966825,0.853937
9,0.049618,0.976269,0.289689,0.872156,0.87038,0.799663,0.967631,0.843845
10,0.045185,0.980214,0.245309,0.885995,0.885537,0.838021,0.967185,0.851404
11,0.04083,0.982619,0.245328,0.885866,0.886295,0.838339,0.969689,0.850857
12,0.035307,0.98605,0.268621,0.891136,0.891011,0.845344,0.971593,0.856096
13,0.031086,0.989032,0.277499,0.889036,0.88886,0.845282,0.972766,0.848534
14,0.027743,0.991213,0.314549,0.891179,0.89127,0.847729,0.970823,0.855258
15,0.025082,0.992336,0.302789,0.887665,0.887341,0.835233,0.964505,0.862284
16,0.022297,0.994869,0.314492,0.891607,0.891431,0.847676,0.972907,0.85371
17,0.020906,0.995126,0.316789,0.889722,0.889375,0.837083,0.973125,0.857916
18,0.019417,0.995895,0.329231,0.892078,0.891673,0.845341,0.971716,0.857963
19,0.018171,0.996408,0.336081,0.891821,0.891474,0.845155,0.972815,0.856454
20,0.01811,0.996537,0.32871,0.892892,0.892585,0.846198,0.973486,0.858072
21,0.121949,0.918064,0.218464,0.861831,0.863214,0.807389,0.93955,0.842704
22,0.079425,0.951512,0.236932,0.87854,0.878798,0.826835,0.960958,0.848601
23,0.073346,0.957188,0.326945,0.860546,0.858339,0.810287,0.921305,0.843424
24,0.063972,0.964179,0.258887,0.874684,0.874934,0.814113,0.962256,0.848433
25,0.06354,0.965334,0.255445,0.880896,0.880755,0.829199,0.967572,0.845493
26,0.055542,0.970946,0.231666,0.868943,0.869304,0.820659,0.961225,0.826028
27,0.053954,0.971523,0.217272,0.884324,0.884167,0.839035,0.964892,0.848574
