epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,f1_real,f1_ai_gen,f1_ai_edit
1,0.577086,0.707886,0.491871,0.776659,0.779441,0.720261,0.875101,0.74296
2,0.443538,0.787641,0.458165,0.785442,0.789255,0.742376,0.874685,0.750703
3,0.378137,0.829619,0.452161,0.791354,0.794366,0.744795,0.887963,0.750339
4,0.332263,0.858064,0.469816,0.812519,0.813092,0.758563,0.904891,0.775822
5,0.287798,0.884071,0.494676,0.81269,0.813779,0.750109,0.908257,0.78297
6,0.245998,0.910849,0.488822,0.806564,0.809276,0.753999,0.895067,0.778762
7,0.180152,0.945162,0.496333,0.820573,0.821575,0.764756,0.915608,0.784361
8,0.155369,0.958952,0.511673,0.822715,0.824266,0.763359,0.912575,0.796864
9,0.142261,0.965975,0.533989,0.820488,0.821816,0.758758,0.914368,0.792321
10,0.120459,0.97691,0.522156,0.823829,0.825258,0.764807,0.916645,0.794323
11,0.111892,0.980727,0.536215,0.82143,0.822614,0.75383,0.91533,0.798683
12,0.107542,0.982234,0.525429,0.824258,0.825597,0.765446,0.916519,0.794828
13,0.10058,0.985088,0.524498,0.825886,0.826835,0.767211,0.918031,0.795262
14,0.095892,0.98714,0.537841,0.824986,0.826178,0.76203,0.917149,0.799356
15,0.094668,0.987493,0.529655,0.825372,0.826264,0.764666,0.918229,0.795898
16,0.090454,0.989129,0.52986,0.825072,0.826229,0.764444,0.917692,0.796552
