epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,f1_real,f1_ai_gen,f1_ai_edit
1,0.47273,0.710932,0.390051,0.792383,0.791305,0.73378,0.887877,0.752258
2,0.365831,0.786422,0.338553,0.818988,0.81949,0.752246,0.907226,0.798999
3,0.316382,0.822083,0.323029,0.828156,0.829241,0.768253,0.916727,0.802743
4,0.279566,0.849309,0.332436,0.835611,0.834426,0.773585,0.920467,0.809226
5,0.247435,0.871917,0.342002,0.822415,0.823871,0.747792,0.914243,0.809578
6,0.217956,0.89164,0.384528,0.81299,0.812348,0.724126,0.908924,0.803994
7,0.186306,0.911971,0.363815,0.833212,0.834132,0.768657,0.932017,0.801722
8,0.165083,0.927428,0.408627,0.83017,0.830356,0.760948,0.929865,0.800253
9,0.142012,0.940448,0.436717,0.827942,0.827851,0.751274,0.926176,0.806103
10,0.124492,0.953083,0.440845,0.832484,0.833103,0.76521,0.929278,0.804822
11,0.112436,0.959593,0.448293,0.829485,0.830655,0.76303,0.927421,0.801512
