epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,f1_real,f1_ai_gen,f1_ai_edit
1,0.544328,0.662188,0.397293,0.770918,0.77258,0.705904,0.867905,0.743931
2,0.402182,0.762755,0.362274,0.794525,0.794393,0.707034,0.896951,0.779194
3,0.35332,0.796203,0.347079,0.810291,0.810485,0.73766,0.909079,0.784715
4,0.312894,0.828272,0.339204,0.81886,0.820049,0.748748,0.911973,0.799426
5,0.27294,0.856332,0.350778,0.819502,0.820569,0.758523,0.920227,0.782956
6,0.236777,0.881153,0.373041,0.823315,0.824198,0.761224,0.922656,0.788714
7,0.204981,0.904211,0.395542,0.823658,0.824238,0.76565,0.916941,0.790122
8,0.173899,0.925568,0.38975,0.8252,0.826605,0.764412,0.922057,0.793347
9,0.148941,0.94125,0.41348,0.825372,0.825627,0.760265,0.92376,0.792855
10,0.126413,0.954591,0.439738,0.825543,0.824825,0.754712,0.921438,0.798325
11,0.113971,0.96264,0.442004,0.821259,0.820586,0.742819,0.923988,0.794952
12,0.104362,0.967546,0.456076,0.822972,0.824044,0.759489,0.92355,0.789092
13,0.09409,0.974185,0.456993,0.824001,0.824914,0.758235,0.921134,0.795373
14,0.086684,0.978899,0.470307,0.824044,0.824181,0.754364,0.922579,0.795598
15,0.077755,0.983132,0.467693,0.829228,0.829466,0.765463,0.926333,0.7966
16,0.075996,0.98403,0.463964,0.823958,0.824585,0.755936,0.920042,0.797777
17,0.072809,0.985216,0.468586,0.827685,0.828096,0.763238,0.924272,0.796778
18,0.070157,0.987461,0.473881,0.822844,0.823222,0.752498,0.925063,0.792106
19,0.068789,0.987782,0.479397,0.8255,0.825854,0.759549,0.924092,0.793923
20,0.067364,0.987878,0.470291,0.823872,0.823891,0.752487,0.924755,0.794432
21,0.16013,0.934227,0.456233,0.810077,0.810916,0.736965,0.908995,0.786788
22,0.15489,0.937241,0.459491,0.810077,0.81013,0.736754,0.912758,0.780877
