epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,f1_real,f1_ai_gen,f1_ai_edit
1,0.639956,0.696501,0.547291,0.780172,0.782883,0.715383,0.870553,0.762713
2,0.498417,0.780425,0.514835,0.786042,0.790064,0.737146,0.869033,0.764014
3,0.426206,0.822564,0.511284,0.79461,0.797748,0.734395,0.885271,0.773578
4,0.365952,0.852772,0.537152,0.79988,0.802502,0.738023,0.891683,0.777799
5,0.322925,0.87769,0.549191,0.796453,0.7994,0.72848,0.883482,0.786239
6,0.271375,0.905044,0.602767,0.794953,0.798012,0.72829,0.884195,0.78155
7,0.200758,0.938813,0.578369,0.817146,0.818014,0.749104,0.911286,0.793653
8,0.170113,0.952827,0.599002,0.814061,0.815436,0.745767,0.90735,0.79319
9,0.15921,0.960555,0.613252,0.816417,0.817776,0.751572,0.908971,0.792786
10,0.136081,0.970272,0.594925,0.822158,0.823661,0.761343,0.914535,0.795104
11,0.12229,0.976943,0.603978,0.816589,0.818139,0.74817,0.90998,0.796267
12,0.120073,0.979123,0.593106,0.820316,0.821732,0.75366,0.914502,0.797035
13,0.112203,0.981849,0.594534,0.821002,0.82294,0.762952,0.912634,0.793233
