epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,f1_real,f1_ai_gen,f1_ai_edit
1,0.385909,0.773242,0.267294,0.86136,0.861546,0.811033,0.950074,0.823529
2,0.25198,0.871212,0.258339,0.86573,0.865854,0.801682,0.95413,0.841752
3,0.20789,0.899785,0.256536,0.877854,0.876801,0.818433,0.962733,0.849238
4,0.170564,0.923163,0.255747,0.870785,0.872063,0.817597,0.951105,0.847488
5,0.144617,0.942437,0.282973,0.875798,0.876574,0.833671,0.958755,0.837295
6,0.121248,0.957381,0.286231,0.884538,0.885263,0.840243,0.964283,0.851262
7,0.105031,0.965975,0.321657,0.879782,0.878974,0.818935,0.966792,0.851196
8,0.089922,0.974922,0.296284,0.885138,0.885458,0.839271,0.967763,0.849339
9,0.083499,0.979284,0.341203,0.877897,0.876843,0.81994,0.962056,0.848534
10,0.074096,0.984094,0.344127,0.887066,0.887017,0.838318,0.96979,0.852943
11,0.069314,0.986018,0.353809,0.88608,0.886071,0.836905,0.969066,0.852244
12,0.064671,0.989065,0.346145,0.891778,0.891763,0.845655,0.972213,0.857421
13,0.060429,0.990508,0.352576,0.887237,0.887269,0.840769,0.972449,0.848589
14,0.055371,0.992752,0.368224,0.892164,0.892287,0.844572,0.973394,0.858894
15,0.053724,0.993811,0.369302,0.887965,0.888444,0.844001,0.970134,0.851198
16,0.050649,0.99442,0.404433,0.887665,0.886869,0.831137,0.972185,0.857284
17,0.048741,0.995575,0.396943,0.891436,0.890819,0.843874,0.969685,0.858898
18,0.047442,0.996023,0.395391,0.892592,0.892354,0.847011,0.974729,0.855322
19,0.047292,0.996248,0.381869,0.893321,0.893095,0.84668,0.97433,0.858276
20,0.045127,0.997306,0.394606,0.892978,0.892536,0.844901,0.974124,0.858583
21,0.16082,0.934003,0.290942,0.871942,0.871712,0.824314,0.957059,0.833761
22,0.117811,0.95908,0.357921,0.868643,0.866969,0.820149,0.945879,0.834877
23,0.101799,0.967258,0.367652,0.873399,0.87438,0.817476,0.96253,0.843135
24,0.097162,0.970304,0.344279,0.873099,0.872699,0.811308,0.966388,0.840401
25,0.094833,0.971779,0.331577,0.873656,0.874038,0.820051,0.96291,0.839153
26,0.091626,0.973511,0.338563,0.868772,0.869129,0.810983,0.961886,0.83452
