epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,f1_real,f1_ai_gen,f1_ai_edit
1,0.56784,0.71369,0.484592,0.774346,0.773758,0.681438,0.88028,0.759556
2,0.436035,0.793862,0.453292,0.803093,0.804177,0.731663,0.898951,0.781917
3,0.377218,0.829522,0.436904,0.803864,0.806181,0.736052,0.901334,0.781159
4,0.325321,0.859827,0.470531,0.817146,0.816745,0.753404,0.91006,0.786771
5,0.282675,0.885034,0.502708,0.800308,0.796704,0.696019,0.907331,0.786762
6,0.24665,0.908219,0.52247,0.794653,0.795938,0.710274,0.891054,0.786485
7,0.181115,0.944136,0.494954,0.82173,0.822231,0.756014,0.913715,0.796965
8,0.15419,0.95892,0.51453,0.819502,0.81907,0.738277,0.918182,0.800751
9,0.143814,0.964436,0.534148,0.813247,0.811236,0.722272,0.915341,0.796095
10,0.121848,0.975532,0.51478,0.826271,0.826379,0.755863,0.920942,0.802331
11,0.111176,0.981144,0.524432,0.822415,0.822368,0.746681,0.921351,0.799071
12,0.106975,0.982009,0.521329,0.82203,0.822452,0.749132,0.920903,0.797322
13,0.10034,0.985313,0.519716,0.823272,0.823815,0.751997,0.921776,0.797673
