epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,f1_real,f1_ai_gen,f1_ai_edit
1,0.697313,0.712536,0.590633,0.776531,0.777768,0.696735,0.8763,0.760269
2,0.542841,0.791393,0.560442,0.791397,0.793789,0.72784,0.879104,0.774421
3,0.46546,0.832152,0.562032,0.803179,0.804572,0.745618,0.90409,0.764009
4,0.400514,0.862393,0.604114,0.809691,0.809231,0.741626,0.901226,0.784841
5,0.349212,0.884617,0.617974,0.809134,0.809044,0.728939,0.906254,0.79194
6,0.25138,0.932688,0.594646,0.816289,0.818263,0.755384,0.910775,0.788632
7,0.211859,0.949428,0.615678,0.815775,0.81727,0.750837,0.911871,0.789101
8,0.195978,0.957156,0.634714,0.81736,0.818321,0.745945,0.911739,0.797278
9,0.162279,0.970112,0.6359,0.823572,0.824882,0.759927,0.914003,0.800716
10,0.148726,0.976846,0.635399,0.825157,0.826304,0.763163,0.917482,0.798268
11,0.142796,0.978867,0.654715,0.820573,0.821173,0.75,0.915478,0.798041
12,0.132849,0.983004,0.636712,0.824729,0.825545,0.759805,0.917652,0.799179
13,0.128714,0.98435,0.63886,0.825757,0.827362,0.765072,0.917452,0.799563
14,0.123901,0.986114,0.645787,0.8252,0.826237,0.760107,0.917364,0.801239
15,0.118699,0.988295,0.638947,0.825929,0.827051,0.763433,0.918493,0.799226
16,0.11751,0.987814,0.638421,0.8261,0.827423,0.766132,0.91715,0.798988
17,0.115831,0.988744,0.64347,0.827257,0.828271,0.762479,0.919711,0.802622
18,0.1142,0.989065,0.641958,0.826571,0.827697,0.764643,0.917701,0.800747
19,0.113142,0.989706,0.644691,0.823786,0.825024,0.758462,0.915856,0.800755
20,0.112774,0.990315,0.645043,0.825543,0.82698,0.763718,0.916479,0.800743
