epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,f1_real,f1_ai_gen,f1_ai_edit
1,0.272083,0.776032,0.189123,0.851163,0.852492,0.803674,0.942673,0.81113
2,0.17689,0.862361,0.187478,0.869371,0.868351,0.821242,0.958273,0.825538
3,0.141296,0.894205,0.207915,0.85699,0.855338,0.819042,0.94786,0.799112
4,0.11978,0.916204,0.171985,0.869629,0.870709,0.810738,0.952217,0.849171
5,0.100419,0.932143,0.182483,0.881753,0.881516,0.834203,0.96803,0.842314
6,0.081561,0.94946,0.246954,0.876869,0.87555,0.827005,0.955754,0.84389
7,0.069594,0.959786,0.216164,0.877512,0.87709,0.826968,0.966135,0.838167
8,0.062633,0.965686,0.243864,0.879697,0.879784,0.821124,0.967361,0.850866
9,0.052476,0.973191,0.221981,0.885823,0.886065,0.836008,0.972865,0.849322
10,0.046569,0.977488,0.253691,0.879697,0.880301,0.83796,0.96834,0.834602
11,0.037608,0.98435,0.284682,0.878411,0.878315,0.820349,0.966061,0.848533
12,0.036785,0.985216,0.29628,0.888094,0.88839,0.836933,0.973428,0.854808
13,0.031881,0.988648,0.271226,0.88788,0.888452,0.843009,0.969386,0.852963
14,0.028617,0.990508,0.279097,0.888008,0.887708,0.834507,0.972717,0.855901
15,0.02492,0.992592,0.322896,0.888737,0.888219,0.835734,0.974532,0.85439
16,0.022265,0.994292,0.302786,0.894049,0.893678,0.848554,0.974551,0.857927
17,0.021214,0.994965,0.298282,0.891864,0.891895,0.843079,0.976397,0.856207
18,0.019769,0.995478,0.31112,0.892507,0.892285,0.844219,0.976286,0.85635
19,0.018554,0.996023,0.315255,0.893749,0.893604,0.846258,0.976822,0.857733
20,0.018267,0.996472,0.319347,0.893621,0.893489,0.846434,0.976759,0.857272
21,0.115963,0.924157,0.221925,0.865044,0.866291,0.81994,0.949121,0.829811
22,0.082281,0.949203,0.223304,0.882267,0.881353,0.823955,0.96696,0.853143
23,0.067345,0.96171,0.229136,0.882953,0.883403,0.836646,0.965531,0.848033
