epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,f1_real,f1_ai_gen,f1_ai_edit
1,0.271503,0.779046,0.186508,0.85082,0.852369,0.797594,0.93795,0.821561
2,0.168522,0.870635,0.160684,0.877383,0.878044,0.82494,0.962499,0.846692
3,0.131352,0.904628,0.186453,0.861831,0.860558,0.786639,0.959017,0.836017
4,0.100689,0.933586,0.187185,0.871556,0.872126,0.823717,0.950463,0.842197
5,0.076137,0.954815,0.205243,0.882567,0.882126,0.835716,0.966353,0.844309
6,0.058965,0.968701,0.250096,0.876526,0.876357,0.816281,0.967912,0.844879
7,0.050189,0.975788,0.312431,0.860117,0.858674,0.779011,0.966331,0.830679
8,0.040371,0.982715,0.2944,0.879054,0.879509,0.832484,0.962522,0.84352
9,0.035944,0.985441,0.254313,0.873656,0.874158,0.816434,0.960797,0.845242
10,0.03282,0.986627,0.287879,0.877255,0.877946,0.828445,0.958447,0.846945
11,0.027552,0.989995,0.303157,0.87794,0.877794,0.825425,0.969515,0.838443
12,0.026103,0.991341,0.317626,0.88668,0.88667,0.834393,0.973234,0.852384
13,0.024108,0.992239,0.304604,0.883938,0.884278,0.838352,0.965838,0.848643
14,0.021572,0.994067,0.309855,0.888779,0.888309,0.84157,0.972705,0.850652
15,0.020413,0.995029,0.303912,0.887023,0.887423,0.839531,0.971443,0.851295
16,0.018556,0.995959,0.310631,0.886851,0.88699,0.836492,0.973252,0.851225
17,0.019099,0.995414,0.308755,0.888694,0.88875,0.838859,0.973043,0.854349
18,0.018169,0.995767,0.30505,0.889893,0.889812,0.840747,0.974862,0.853827
19,0.017696,0.996344,0.316292,0.889722,0.889674,0.841415,0.974477,0.853129
20,0.017154,0.996697,0.31761,0.889508,0.889265,0.839209,0.975844,0.852742
21,0.101107,0.936985,0.271079,0.844651,0.843686,0.801469,0.956325,0.773262
22,0.061327,0.966296,0.282588,0.873741,0.873587,0.830566,0.960533,0.829662
23,0.049469,0.974666,0.296033,0.864187,0.865491,0.807861,0.948892,0.83972
24,0.045143,0.977712,0.281855,0.869243,0.868514,0.822414,0.95156,0.831569
25,0.043334,0.978546,0.292393,0.877897,0.878195,0.827713,0.963614,0.843258
26,0.043831,0.978225,0.300105,0.876783,0.877131,0.827625,0.961906,0.841861
27,0.040142,0.981272,0.295349,0.873656,0.873012,0.828264,0.962681,0.828091
28,0.039427,0.981913,0.301102,0.876312,0.875365,0.816305,0.964091,0.845699
