epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,f1_real,f1_ai_gen,f1_ai_edit
1,0.275121,0.774044,0.191828,0.850649,0.851769,0.795392,0.931177,0.828736
2,0.17618,0.86188,0.171743,0.868001,0.868836,0.811913,0.953679,0.840916
3,0.142247,0.892858,0.184828,0.863031,0.86415,0.820819,0.946994,0.824638
4,0.123516,0.914344,0.164935,0.883724,0.883867,0.837649,0.967094,0.846859
5,0.100079,0.931918,0.185366,0.875584,0.876628,0.832754,0.960621,0.836509
6,0.083727,0.948017,0.200985,0.875198,0.874833,0.809795,0.96998,0.844724
7,0.068566,0.959786,0.219799,0.874598,0.874075,0.810095,0.967234,0.844896
8,0.062965,0.965173,0.215401,0.882439,0.88236,0.827627,0.971797,0.847657
9,0.053301,0.972517,0.251988,0.879397,0.879456,0.826944,0.965672,0.845751
10,0.045413,0.979123,0.244747,0.882953,0.88328,0.8325,0.971118,0.846223
11,0.039128,0.983036,0.274591,0.875755,0.875425,0.836524,0.9687,0.821051
