epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,f1_real,f1_ai_gen,f1_ai_edit
1,0.578395,0.732899,0.482143,0.781415,0.783391,0.726221,0.883542,0.740409
2,0.437145,0.807074,0.458313,0.799152,0.79807,0.741856,0.893588,0.758765
3,0.365738,0.840522,0.443852,0.80862,0.808488,0.727393,0.907084,0.790986
4,0.309507,0.868999,0.487041,0.805064,0.804392,0.720285,0.903272,0.789617
5,0.256804,0.894237,0.512546,0.807292,0.810044,0.757352,0.896575,0.776206
6,0.214417,0.914056,0.510897,0.810891,0.80981,0.744135,0.911043,0.774253
7,0.139725,0.948209,0.52916,0.823144,0.823608,0.756493,0.921972,0.792358
8,0.108828,0.960331,0.564535,0.82293,0.822506,0.755667,0.917593,0.794258
9,0.097829,0.965366,0.603503,0.817146,0.815627,0.741816,0.912738,0.792327
10,0.065859,0.977808,0.610339,0.826271,0.825734,0.757593,0.920201,0.799407
11,0.057168,0.982298,0.635177,0.824729,0.82433,0.756129,0.919502,0.797359
12,0.053502,0.983068,0.635169,0.825757,0.825332,0.756606,0.921497,0.797892
13,0.046543,0.984383,0.667808,0.821987,0.820836,0.749145,0.915953,0.79741
14,0.0409,0.986499,0.666917,0.824086,0.823412,0.752646,0.920376,0.797214
15,0.040175,0.987012,0.682283,0.821259,0.820736,0.747345,0.919043,0.79582
